Tag,1854.12.24,
BRZ,2241766,
CHI,29391787,
ENG,7511995,
FRA,10340282,
IBR,6046765,
INC,4380674,
JAP,12817381,
KUK,11583359,
LPL,1873493,
MEX,3739724,
NET,7378609,
NGF,7866996,
PER,4290760,
RUS,18379205,
SCA,4937249,
SIC,3316437,
TUR,10496312,
USA,7498508,
